#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A18D20
#Date Time: 2020-09-17 16:15:27.334
#Sample rate: 800000Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 2: Range: 1.1 V/div Offset: 0 V Attenuation: 1 X
#Math 1: Function: C1 / 100
#Wavegen Channel 1: Running
#Mode: Simple
#Type: RampUp
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 5 V
#Offset: 0 V
#Symmetry: 100 %
#Phase: 0 °

Time (s),Channel 2 (V),Math 1 (A)
-0.0017395,2.334148397962459,0.002364681787581832
-0.00173825,2.345133450587643,0.002374636344504388
-0.001737,2.356118503212814,0.002384590901426932
-0.00173575,2.370765240046387,0.002391227272708635
-0.001734499999999999,2.385411976879962,0.002407818200912887
-0.00173325,2.400058713713523,0.002417772757835431
-0.001732,2.407382082130307,0.002431045500398828
-0.00173075,2.418367134755483,0.002441000057321377
-0.0017295,2.429352187380658,0.002450954614243925
-0.00172825,2.443998924214219,0.002460909171166469
-0.001727,2.454983976839402,0.002474181913729871
-0.00172575,2.458645661047792,0.002484136470652415
-0.0017245,2.46963071367297,0.002497409213215817
-0.00172325,2.480615766298151,0.002504045584497524
-0.001722,2.491600818923322,0.002520636512701763
-0.00172075,2.498924187340105,0.002527272883983461
-0.0017195,2.509909239965281,0.002533909255265161
-0.00171825,2.528217661007241,0.002547181997828558
-0.001717,2.542864397840802,0.002563772926032798
-0.00171575,2.550187766257593,0.002577045668596203
-0.001714499999999999,2.564834503091165,0.002583682039877909
-0.00171325,2.575819555716337,0.0025969547824413
-0.001712,2.586804608341517,0.002610227525004704
-0.00171075,2.597789660966688,0.002623500267568095
-0.0017095,2.608774713591864,0.002636773010131494
-0.00170825,2.61975976621704,0.002646727567054042
-0.001707,2.630744818842216,0.00265336393833574
-0.00170575,2.641729871467386,0.002666636680899132
-0.0017045,2.652714924092567,0.002676591237821686
-0.001703249999999999,2.66736166092614,0.002689863980385089
-0.001702,2.678346713551311,0.002699818537307632
-0.00170075,2.692993450384882,0.002709773094230184
-0.0016995,2.700316818801663,0.002719727651152729
-0.00169825,2.711301871426838,0.002729682208075277
-0.001697,2.718625239843619,0.002742954950638669
-0.00169575,2.73327197667719,0.002752909507561223
-0.0016945,2.747918713510751,0.002769500435765463
-0.00169325,2.755242081927542,0.002776136807047169
-0.001691999999999999,2.769888818761115,0.002786091363969723
-0.00169075,2.780873871386286,0.002799364106533116
-0.0016895,2.78819723980307,0.002809318663455663
-0.00168825,2.802843976636637,0.002825909591659911
-0.001687,2.817490713470205,0.002835864148582459
-0.00168575,2.824814081886986,0.002845818705505002
-0.0016845,2.835799134512165,0.002859091448068405
-0.00168325,2.846784187137336,0.002869046004990948
